name,highSchool,town,state,weightClass,placement
"Richard Figueroa","Selma High School",Selma,California,125,1
"Drake Ayala","Fort Dodge Senior High","Fort Dodge",Iowa,125,2
"Anthony Noto","Honeoye Falls-Lima High School",Lima,"New York",125,3
"Eric Barnett","Hortonville High School",Hortonville,Wisconsin,125,4
"Luke Stanich","Roxbury High School",Roxbury,"New Jersey",125,5
"Caleb Smith","GreatÂ BridgeÂ High School",Chesapeake,Virginia,125,6
"Jore Volk","Lakeville North High School",Lakevillie,Minnesota,125,7
"Tanner Jordan","Campbell County High School",Gillette,Wyoming,125,8
"Vito Arujau","Syosset High School",Syosset,"New York",133,1
"Daton Fix","Charles Page High School","Sand Springs",Oklahoma,133,2
"Ryan Crookham","Saucon Valley",Hellertown,Pennsylvania,133,3
"Nasir Bailey","Rich Township High School","Park Forest",Illinios,133,4
"Dylan Ragusin","Montini Catholic High School","Elk Grove Village",Illinios,133,5
"Evan Frost","Dowling Catholic High School",Metairie,Louisiana,133,6
"Dylan Shawver","Elyria High School",Lorain,Ohio,133,7
"Kai Orine","Seckman High School",Imperial,Missouri,133,8
"Jesse Mendez","Crown Point High School","Crown Point",Indiana,144,1
"Beau Barlett","Wyoming Seminary High School",Kingston,Pennsylvania,144,2
"Brock Hardy","Box Elder High School","Brigham City",Utah,144,3
"Real Woods","Montini Catholic",Albuquerque,"New Mexico",144,4
"Anthony Echemendia","Sunnyside High School",Cabaiguan,Cuba,144,5
"Lachlan McNeil","Wyoming Seminary High School",Toronto,Ontario,144,6
"Ryan Jack","Danbury High School",Danbury,Connecticut,144,7
"Vance Vambaur","Windsor High School",Greeley,Colorado,144,8
"Caleb Henson","Woodland High School",Cartersville,Georgia,149,1
"Austin Gomez","Glenbard North High School","Carol Stream",Illinios,149,2
"Tyler Kasak","Happy Valley High School",Doylestown,Pennsylvania,149,3
"Ty Watters","West Allegheny High School",Imperial,Pennsylvania,149,4
"Kyle Parco","Fresno State High School",Danville,California,149,5
"Ridge Lovett","Post Falls High School","Post Falls",Idaho,149,6
"Casey Swiderski","Dundee High School",Dundee,Michigan,149,7
"Quinn Kinner","Kingsway High School","Mullica Hill","New Jersey",149,8
"Levi Haines","Biglerville High School",Arendtsville,Pennsylvania,157,1
"Jacori Teemer","Long Beach High School","Long Beach","New York",157,2
"Meyer Shapiro","Wyoming Seminary College Preparatory School",Woodbine,Maryland,157,3
"Daniel Cardenas","Pomona High School",Arvada,Colorado,157,4
"Peyten Kellar","Warren High School",Cutler,Ohio,157,5
"Bryce Andonian","St. Edward's High School",Kirtland,Ohio,157,6
"Peyton Robb","Owatonna High School",Owatonna,Minnesota,157,7
"Jared Franek","West Fargo High School",Harwood,"North Dakota",157,8
"David Carr","Perry High School",Canton,Ohio,165,1
"Mitchell Mesenbrink","Arrowhead High School",Hartland,Wisconsin,165,2
"Keegan O'Toole","Arrowhead High School",Hartland,Wisconsin,165,3
"Mike Caliendo","Batavia High School",Geneva,Illinios,165,4
"Izzak Olejnik","Bakersfield High School",Bakersfield,California,165,5
"Hunter Garvin","Iowa City West High School","Iowa City",Iowa,165,6
"Peyton Hall","Oak Glen High School",Chester,"West Virginia",165,7
"Antrell Taylor","Millard South High School",Millard,Nebraska,165,8
"Carter Starocci","Cathedral Preparatory School",Erie,Pennsylvania,174,1
"Rocco Welsh","Waynesburg Central High School",Waynesburg,Pennsylvania,174,2
"Shane Griffith","Bergen Catholic High School",Westwood,"New Jersey",174,3
"Mekhi Lewis","Bound Brook High School",Somerset,"New Jersey",174,4
"Cade DeVos","Southeast Polk High School",Altoona,Iowa,174,5
"Lennox Wolak","Coffman High School",Dublin,Ohio,174,6
"Edmond Ruth","Susquehanna Township High School
",Harrisburg,Pennsylvania,174,7
"Benjamin Pasiuk","Carrollton High School",Carrollton,Ohio,174,8
"Parker Keckeisen","Nicolet High School",Glendale,Wisconsin,184,1
"Dustin Plott","Tuttle High School",Tuttle,Oklahoma,184,2
"Trey Munoz","Trabuco Hills High School","Mission Viejo",California,184,3
"Bennett Berge","Kason-Mantorville High School",Mantorville,Minnesota,184,4
"Bernie Truax","California State High School",Oceanside,California,184,5
"Isaiah Salazar","Windsor High School",Greeley,Colorado,184,6
"Thomas Sterwart Jr","Blair Academy High School",Triangle,Virginia,184,7
"David Key","Brookwood High School",Norcross,Georgia,184,8
"Aaron Brooks","North Hagerstown High School",Hagerstown,Maryland,197,1
"Trent Hidlay","Mifflin County High School",Lewistown,Pennsylvania,197,2
"Stephen Buchanan","Loyal High School",Loyal,Wisconsin,197,3
"Jacob Cardenas","Bergen Catholic High School",Kearny,"New Jersey",197,4
"Tanner Sloan","Alburnett High School",Alburnett,Iowa,197,5
"Rocky Elam","Staley High School","Kansas City",Missouri,197,6
"Stephen Little","Union County High School",Sturgis,Kentucky,197,7
"Michael Beard","Malvern Preparatory School",Reading,Pennsylvania,197,8
"Greg Kerkvliet","Simley High School","Inver Grove Heights",Minnesota,285,1
"Lucas Davison","Chesterton High School",Chesterton,Indiana,285,2
"Wyatt Hendrickson","Newton High School",Newton,Kansas,285,3
"Zach Elam","Staley High School","Kansas City",Missouri,285,4
"Nick Feldman","Malvern Preparatory School",Quarryville,Pennsylvania,285,5
"Cohlton Schultz","Ponderosa High School",Parker,Colorado,285,6
"Yaraslau Slavikouski","Northfield Mount Hermon",Rechitsa,Belarus,285,7
"Taye Ghadiali","Warren Fitzgerald High School",Warren,Michigan,285,8
