name,highSchool,town,state,weightClass,placement,year
"Pat Glory","Delbarton School",Randolph,"New Jersey",125,1,2022
"Matt Ramos","Lockport Township High School",Lockport,Illinois,125,2,2022
"Brandon Courtney","Desert Edge High School",Goodyear,Arizona,125,3,2022
"Anthony Noto","Honeoye Falls-Lima High School",Lima,"New York",125,4,2022
"Liam Cronin","Servite High School",Orange,California,125,5,2022
"Spencer Lee","Franklin Regional High School",Murrysville,Pennsylvania,125,6,2022
"Eddie Ventresca","Pope John XXIII Regional High School",Roxbury,"New Jersey",125,7,2022
"Killian Cardinale","Brentsville District High School",Bristow,Virginia,125,8,2022
"Vito Arujau","Syosett High School",Syosett,"New York",133,1,2022
"Roman Bravo-Young","Sunnyside High School",Tucson,Arizona,133,2,2022
"Michael McGee","Plainfield East High School",Bolingbrook,Illinois,133,3,2022
"Daton Fix","Charles Page High School","Sand Springs",Oklahoma,133,4,2022
"Aaron Nagao","St. John Bosco High School","Huntington Beach",California,133,5,2022
"Jesse Mendez","Crown Point High School","Crown Point",Indiana,133,6,2022
"Sam Latona","Thompson High School",Alabaster,Alabama,133,7,2022
"Kai Orine","Seckman High School",Imperial,Missouri,133,8,2022
"Andrew Alirez","Greely Central High School",Greeley,Colorado,141,1,2022
"Real Woods","Montini Catholic High School",Albuquerque,"New Mexico",141,2,2022
"Beau Bartlett","Wyoming Seminary",Tempe,Arizona,141,3,2022
"Lachlan McNeil","Wyoming Seminary",Ontario,Canada,141,4,2022
"Clay Carlson","Willmar High School",Willmar,Minnesota,141,5,2022
"Brock Hardy","Box Elder High School","Brigham City",Utah,141,6,2022
"Parker Filius","Harve High School",Harve,Montana,141,7,2022
"Dylan D`Emilio","Genoa Area High School",Curtis,Ohio,141,8,2022
"Yianni Diakomihalis","Hilton High School",Rochester,"New York",149,1,2022
"Sammy Sasso","Nazareth Area High School",Nazareth,Pennsylvania,149,2,2022
"Shayne Van Ness","Blair Academy",Somerville,"New Jersey",149,3,2022
"Kyle Parco","De La Salle High School",Danville,California,149,4,2022
"Caleb Henson","Woodland High School",Cartersville,Georgia,149,5,2022
"Max Murin","Central Cambria High School",Ebensburg,Pennsylvania,149,6,2022
"Brock Mauller","Father Tolton High School",Columbia,Missouri,149,7,2022
"Michael Blockhus","New Hampton High School",Cresco,Iowa,149,8,2022
"Austin O`Connor","St. Rita of Cascia High School",Lockport,Illinois,157,1,2022
"Levi Haines","Biglerville High School",Arendtsville,Pennsylvania,157,2,2022
"Josh Humphreys","Parkersburg South High School",Parkersburg,"West Virginia",157,3,2022
"Jared Franek","West Fargo High School",Harwood,"North Dakota",157,4,2022
"Ed Scott","Dubois High School",Dubois,Pennsylvania,157,5,2022
"Peyton Robb","Owatonna High School",Owatonna,Minnesota,157,6,2022
"Bryce Andonian","St. Edward's High School",Kirtland,Ohio,157,7,2022
"Will Lewan","Montini Catholic High School",Chicago,Illinois,157,8,2022
"Keegan O`Toole","Arrowhead High School",Hartland,Wisconsin,165,1,2022
"David Carr","Perry High School",Canton,Ohio,165,2,2022
"Quincy Monday","Carrboro High School","Chapel Hill","North Carolina",165,3,2022
"Cameron Amine","Detroit Catholic Central High School",Brighton,Michigan,165,4,2022
"Shane Griffith","Bergen Catholic High School",Westwood,"New Jersey",165,5,2022
"Dean Hamiti","Joliet Catholic Academy",Joliet,Illinois,165,6,2022
"Michael Caliendo III","Batavia High School",Geneva,Illinois,165,7,2022
"Izzak Olejnik","Bakersfield High School",Bakersfield,California,165,8,2022
"Carter Starocci","Cathedral Preparatory School",Erie,Pennsylvania,174,1,2022
"Mikey Labriola","Bethlehem Catholic High School",Easton,Pennsylvania,174,2,2022
"Chris Foca","Bergen Catholic High School","Cliffside Park","New Jersey",174,3,2022
"Mekhi Lewis","Bound Brook High School",Somerset,"New Jersey",174,4,2022
"Nelson Brands","Iowa City West High School","Iowa City",Iowa,174,5,2022
"Dustin Plott","Tuttle High School",Tuttle,Oklahoma,174,6,2022
"Ethan Smith","Sparrows Pount High School",Latrobe,Pennsylvania,174,7,2022
"Peyton Mocco","Nathan Hale High School","West Allis",Wisconsin,174,8,2022
"Aaron Brooks","North Hagerston High School",Hagerstown,Maryland,184,1,2022
"Parker Keckeisen","Nicolet High School",Glendale,Wisconsin,184,2,2022
"Kaleb Romero","Mechanicsburg High School",Mechanicsburg,Ohio,184,3,2022
"Trent Hidlay","Mifflin County High School",Lewistown,Pennsylvania,184,4,2022
"Marcus Coleman","Ames High School",Ames,Iowa,184,5,2022
"Trey Munoz","Trabuccco Hills High School","Mission Viejo",California,184,6,2022
"Will Feldkamp","Dexter High School",Pinckney,Michigan,184,7,2022
"Gavin Kane","Cambridge High School",Milton,Georgia,184,8,2022
"Nino Bonaccorsi","Bethel Park High School","Bethel Park",Pennsylvania,197,1,2022
"Tanner Sloan","Alburnett High School",Alburnett,Iowa,197,2,2022
"Rocky Elam","Staley High School","Kansas City",Missouri,197,3,2022
"Bernie Truax","Rancho Buena Vista High School",Oceanside,California,197,4,2022
"Jacob Warner","Washington Community High School",Tolono,Illinois,197,5,2022
"Ethan Laird","General McLane High School",McKean,Pennsylvania,197,6,2022
